type,ident,lat,lon,clock,updateType,id,air_ground,hexid,alt,gs,heading,rp1lat,rp1lon,rp1alt,rp1clock,fob,oat,airspeed_kts,airspeed_mach,winds,eta,baro_alt,gps-alt,atcident,reg,squawk,altChange,geometry
position,SWA1501,41.63194,-87.28944,2016-04-14T11:06:01.000-07:00,Z,SWA1501-1461994255-airline-0810,A,,33300,535,78,,,,,,,,,,2016-04-14T11:36:42.000-07:00,,,,,,D,"-87.28944,41.63194,33300"
position,UAL229,32.6911,-116.8913,2016-04-14T11:05:49.000-07:00,A,UAL229-1461994227-airline-0297,A,A5D28E,5000,274,244,,,,,,,,,,,,,,N47414,,D,"-116.8913,32.6911,5000"
position,FFT105,37.03072,-75.78698,2016-04-14T11:05:48.000-07:00,A,FFT105-1461994084-airline-0117,A,A1A523,27800,399,13,,,,,,,,,,,,,,N205FR,4017,D,"-75.78698,37.03072,27800"
position,SWA2078,41.93056,-87.2551,2016-04-14T11:05:48.000-07:00,A,SWA2078-1461994256-airline-0484,A,AA7DF3,23400,412,355,,,,,,,,,,,,,,N7750A,,D,"-87.2551,41.93056,23400"
position,UAL633,41.96201,-87.87084,2016-04-14T11:05:50.000-07:00,A,UAL633-1461994235-airline-0070,A,A46CC1,8300,278,319,,,,,,,,,,,,,,N38417,2601,D,"-87.87084,41.96201,8300"
position,DAL2754,36.53861,-121.20639,2016-04-14T11:05:44.000-07:00,Z,DAL2754-1461994055-airline-0424,A,,27900,499,134,,,,,,,,,,2016-04-14T11:42:24.000-07:00,,,,,,C,"-121.20639,36.53861,27900"
position,N631CD,36.44167,-121.8675,2016-04-14T11:05:57.000-07:00,Z,N631CD-1462136406-1-0,A,,8900,155,145,,,,,,,,,,2016-04-14T11:49:58.000-07:00,,,,,,D,"-121.8675,36.44167,8900"
position,UAL908,41.96411,-88.31841,2016-04-14T11:05:53.000-07:00,A,UAL908-1461994239-airline-0130,A,A87D48,6400,184,89,,,,,,,,,,,,,,N646UA,6053,D,"-88.31841,41.96411,6400"
position,SKW5439,32.86015,-117.4353,2016-04-14T11:05:52.000-07:00,A,SKW5439-1461994146-airline-0138,A,A0B6EA,9200,295,308,,,,,,,,,,,,,,N145SY,7352,C,"-117.4353,32.86015,9200"
position,SWA1980,32.8,-117.15,2016-04-14T11:06:01.000-07:00,Z,SWA1980-1461994256-airline-0376,A,,5800,258,121,,,,,,,,,,2016-04-14T11:09:01.000-07:00,,,,,,D,"-117.15,32.8,5800"
position,N927JC,32.73167,-117.17139,2016-04-14T11:06:08.000-07:00,Z,N927JC-1462201429-11-0,A,,25000,305,137,,,,,,,,,,2016-04-14T13:40:07.000-07:00,,,,,, ,"-117.17139,32.73167,25000"
position,AAL49,41.4792,-88.10505,2016-04-14T11:05:55.000-07:00,A,AAL49-1461993947-airline-0146:0,A,AAB812,38000,427,221,,,,,,,,,,,,,,N790AN,, ,"-88.10505,41.4792,38000"
position,N9262C,37.12056,-76.56306,2016-04-14T11:06:03.000-07:00,Z,N9262C-1462210142-11-2,A,,1900,89,312,,,,,,,,,,2016-04-14T11:13:39.000-07:00,,,,,,C,"-76.56306,37.12056,1900"
position,FFT1287,42.1497,-88.26499,2016-04-14T11:05:55.000-07:00,A,FFT1287-1461994084-airline-0101,A,A1ECB3,14100,292,241,,,,,,,,,,,,,,N223FR,7253,C,"-88.26499,42.1497,14100"
position,DAL758,33.08398,-117.5356,2016-04-14T11:05:55.000-07:00,A,DAL758-1461994063-airline-0084,A,AB0D76,25200,495,137,,,,,,,,,,,,,,N811DZ,7634,C,"-117.5356,33.08398,25200"
position,UAL293,33.19639,-117.03972,2016-04-14T11:06:08.000-07:00,Z,UAL293-1461994227-airline-0291,A,,20200,377,279,,,,,,,,,,2016-04-14T11:23:34.000-07:00,,,,,,D,"-117.03972,33.19639,20200"
position,VRD927,36.84391,-121.9234,2016-04-14T11:05:56.000-07:00,A,VRD927-1461994251-airline-0017,A,A83988,14200,359,348,,,,,,,,,,,,,,N629VA,7631,D,"-121.9234,36.84391,14200"
position,N990H,41.97243,-87.13135,2016-04-14T11:05:58.000-07:00,A,N990H-1462132753-3-2,A,ADD352,45000,350,262,,,,,,,,,,,,,,N990H,3462, ,"-87.13135,41.97243,45000"
position,TCF3596,41.93333,-87.88333,2016-04-14T11:06:15.000-07:00,Z,TCF3596-1461994171-airline-0041,A,,3000,230,180,,,,,,,,,,2016-04-14T12:07:52.000-07:00,,,,,,C,"-87.88333,41.93333,3000"
position,WBR2107,42.08333,-88,2016-04-14T11:06:04.000-07:00,Z,WBR2107-1462037400-schedule-0002,A,,3900,153,311,,,,,,,,,,2016-04-14T12:41:46.000-07:00,,,,,, ,"-88,42.08333,3900"
position,SWA451,41.91316,-88.22427,2016-04-14T11:06:02.000-07:00,A,SWA451-1461994257-airline-0095,A,ABE0BB,37000,509,86,,,,,,,,,,,,,,N8645A,, ,"-88.22427,41.91316,37000"
position,UAL229,32.68176,-116.9134,2016-04-14T11:06:04.000-07:00,A,UAL229-1461994227-airline-0297,A,A5D28E,4700,269,243,,,,,,,,,,,,,,N47414,,D,"-116.9134,32.68176,4700"
position,UAL633,41.97638,-87.888,2016-04-14T11:06:05.000-07:00,A,UAL633-1461994235-airline-0070,A,A46CC1,8000,276,319,,,,,,,,,,,,,,N38417,2601,D,"-87.888,41.97638,8000"
position,N27850,36.98333,-76.62806,2016-04-14T11:06:19.000-07:00,Z,N27850-1462146080-17-0,A,,14100,171,228,,,,,,,,,,2016-04-14T11:52:55.000-07:00,,,,,, ,"-76.62806,36.98333,14100"
position,SKW5030,42.11694,-87.80417,2016-04-14T11:06:14.000-07:00,Z,SKW5030-1461994233-airline-0125,A,,7500,250,6,,,,,,,,,,2016-04-14T12:03:23.000-07:00,,,,,,C,"-87.80417,42.11694,7500"
position,UAL896,41.96315,-88.41372,2016-04-14T11:06:05.000-07:00,A,UAL896-1461994239-airline-0020,A,AAC136,6900,186,89,,,,,,,,,,,,,,N792UA,3427, ,"-88.41372,41.96315,6900"
position,N63251,36.95,-122.01667,2016-04-14T11:06:18.000-07:00,Z,N63251-1462207229-1-1,A,,5000,107,122,,,,,,,,,,2016-04-14T11:28:41.000-07:00,,,,,, ,"-122.01667,36.95,5000"
position,SKV7592,42.16528,-87.36333,2016-04-14T11:06:14.000-07:00,Z,SKV7592-1461994238-airline-0237,A,,14300,352,63,,,,,,,,,,2016-04-14T12:38:53.000-07:00,,,,,,C,"-87.36333,42.16528,14300"
position,AWI3773,36.74528,-76.80694,2016-04-14T11:06:19.000-07:00,Z,AWI3773-1462037700-schedule-0001,A,,15100,294,259,,,,,,,,,,2016-04-14T11:48:23.000-07:00,,,,,,C,"-76.80694,36.74528,15100"
position,VRD953,36.63372,-121.8084,2016-04-14T11:06:06.000-07:00,A,VRD953-1461994251-airline-0444,A,A6A882,19000,357,328,,,,,,,,,,,,,,N528VA,2074,D,"-121.8084,36.63372,19000"
position,AMX773,32.38417,-116.8882,2016-04-14T11:06:07.000-07:00,A,AMX773-1461993999-airline-0128,A,A688FA,10800,292,120,,,,,,,,,,,,,,N520AM,1444,C,"-116.8882,32.38417,10800"
position,VRD218,37.03226,-121.7822,2016-04-14T11:06:08.000-07:00,A,VRD218-1461994251-airline-0311,A,A84706,23300,436,128,,,,,,,,,,,,,,N632VA,3607,C,"-121.7822,37.03226,23300"
position,UAL908,41.96425,-88.29974,2016-04-14T11:06:08.000-07:00,A,UAL908-1461994239-airline-0130,A,A87D48,6100,182,89,,,,,,,,,,,,,,N646UA,6053,D,"-88.29974,41.96425,6100"
position,UAL1640,41.63278,-87.96641,2016-04-14T11:06:07.000-07:00,A,UAL1640-1461994226-airline-0316,A,A0817C,39000,517,80,,,,,,,,,,,,,,N13110,2056, ,"-87.96641,41.63278,39000"
position,AAL49,41.46869,-88.11706,2016-04-14T11:06:10.000-07:00,A,AAL49-1461993947-airline-0146:0,A,AAB812,38000,428,221,,,,,,,,,,,,,,N790AN,6036, ,"-88.11706,41.46869,38000"
position,SWG307,37.35686,-75.84505,2016-04-14T11:06:10.000-07:00,A,SWG307-1461994253-airline-0212,A,C02966,37000,456,14,,,,,,,,,,,,,,CFPRP,3166, ,"-75.84505,37.35686,37000"
position,SKW5018,36.50722,-121.61444,2016-04-14T11:06:09.000-07:00,Z,SKW5018-1461994233-airline-0431,A,,4400,203,283,,,,,,,,,,2016-04-14T11:14:56.000-07:00,,,,,,D,"-121.61444,36.50722,4400"
position,N867K,36.62417,-121.95083,2016-04-14T11:06:09.000-07:00,Z,N867K-1462143577-2-0,A,,6300,184,257,,,,,,,,,,2016-04-14T12:55:41.000-07:00,,,,,,C,"-121.95083,36.62417,6300"
position,DAL1392,33.15861,-116.72278,2016-04-14T11:06:20.000-07:00,Z,DAL1392-1461994052-airline-0156,A,,25300,418,281,,,,,,,,,,2016-04-14T11:26:20.000-07:00,,,,,,D,"-116.72278,33.15861,25300"
position,CPZ5746,33.23333,-117.3,2016-04-14T11:06:07.000-07:00,Z,CPZ5746-1461994061-airline-0035,A,,13900,353,280,,,,,,,,,,2016-04-14T11:21:50.000-07:00,,,,,,D,"-117.3,33.23333,13900"
position,UAL896,41.96342,-88.3965,2016-04-14T11:06:20.000-07:00,A,UAL896-1461994239-airline-0020,A,AAC136,6900,186,89,,,,,,,,,,,,,,N792UA,3427, ,"-88.3965,41.96342,6900"
position,N9262C,37.12167,-76.56444,2016-04-14T11:06:19.000-07:00,Z,N9262C-1462210142-11-2,A,,1900,81,315,,,,,,,,,,2016-04-14T11:13:39.000-07:00,,,,,, ,"-76.56444,37.12167,1900"
position,RTD10,37.09306,-75.76639,2016-04-14T11:06:22.000-07:00,Z,RTD10-1462200637-2-1,A,,8400,267,313,,,,,,,,,,2016-04-14T11:13:12.000-07:00,,,,,,D,"-75.76639,37.09306,8400"
position,FFT105,37.08444,-75.77032,2016-04-14T11:06:18.000-07:00,A,FFT105-1461994084-airline-0117,A,A1A523,27300,395,14,,,,,,,,,,,,,,N205FR,4017,D,"-75.77032,37.08444,27300"
position,SKW5809,36.45671,-121.6686,2016-04-14T11:06:17.000-07:00,A,SKW5809-1461994235-airline-0391,A,A0B333,24800,389,328,,,,,,,,,,,,,,N144SY,7720,D,"-121.6686,36.45671,24800"
position,UAL633,41.9902,-87.90492,2016-04-14T11:06:20.000-07:00,A,UAL633-1461994235-airline-0070,A,A46CC1,7600,277,318,,,,,,,,,,,,,,N38417,2601,D,"-87.90492,41.9902,7600"
position,UAL667,41.9837,-87.87933,2016-04-14T11:06:18.000-07:00,A,UAL667-1461994236-airline-0082,A,AA56B8,1200,169,90,,,,,,,,,,,,,,N76519,7273,C,"-87.87933,41.9837,1200"
position,URF53,36.81389,-122.15639,2016-04-14T11:06:33.000-07:00,Z,URF53-1462192036-1-0,A,,17000,195,166,,,,,,,,,,2016-04-14T11:54:26.000-07:00,,,,,,C,"-122.15639,36.81389,17000"
position,SWA1980,32.78861,-117.12111,2016-04-14T11:06:33.000-07:00,Z,SWA1980-1461994256-airline-0376,A,,5300,269,115,,,,,,,,,,2016-04-14T11:09:01.000-07:00,,,,,,D,"-117.12111,32.78861,5300"
position,EJA354,37.08528,-121.90667,2016-04-14T11:06:33.000-07:00,Z,EJA354-1462143331-1-0,A,,26500,414,127,,,,,,,,,,2016-04-14T12:02:09.000-07:00,,,,,,C,"-121.90667,37.08528,26500"
position,SWA1491,41.51667,-87.2,2016-04-14T11:06:27.000-07:00,Z,SWA1491-1461994255-airline-0105,A,,5500,275,270,,,,,,,,,,2016-04-14T11:17:57.000-07:00,,,,,,D,"-87.2,41.51667,5500"
position,ASQ4213,42,-88.05,2016-04-14T11:06:27.000-07:00,Z,ASQ4213-1461994229-airline-0392,A,,2500,162,109,,,,,,,,,,2016-04-14T11:08:23.000-07:00,,,,,,D,"-88.05,42,2500"
position,UAL254,41.34611,-88.04972,2016-04-14T11:06:26.000-07:00,Z,UAL254-1461994227-airline-0257,A,,16700,417,196,,,,,,,,,,2016-04-14T12:54:41.000-07:00,,,,,,C,"-88.04972,41.34611,16700"
position,ENY3714,41.96556,-88.00694,2016-04-14T11:06:26.000-07:00,Z,ENY3714-1461993952-airline-0355,A,,1800,163,90,,,,,,,,,,2016-04-14T11:07:57.000-07:00,,,,,,D,"-88.00694,41.96556,1800"
position,EJA962,41.25167,-87.75667,2016-04-14T11:06:26.000-07:00,Z,EJA962-1462116955-3-0,A,,35200,582,85,,,,,,,,,,2016-04-14T11:33:25.000-07:00,,,,,,D,"-87.75667,41.25167,35200"
position,SWA2387,42.15694,-87.48222,2016-04-14T11:06:26.000-07:00,Z,SWA2387-1461994256-airline-0719,A,,28200,445,130,,,,,,,,,,2016-04-14T12:23:57.000-07:00,,,,,,C,"-87.48222,42.15694,28200"
position,SKW5868,41.45,-87.3,2016-04-14T11:06:33.000-07:00,Z,SKW5868-1461994235-airline-0313,A,,11000,335,318,,,,,,,,,,2016-04-14T11:23:46.000-07:00,,,,,, ,"-87.3,41.45,11000"
position,SWA3784,41.53694,-87.535,2016-04-14T11:06:26.000-07:00,Z,SWA3784-1461994257-airline-0052,A,,4000,273,274,,,,,,,,,,2016-04-14T11:14:48.000-07:00,,,,,, ,"-87.535,41.53694,4000"
position,UAL908,41.96434,-88.28719,2016-04-14T11:06:23.000-07:00,A,UAL908-1461994239-airline-0130,A,A87D48,5900,182,89,,,,,,,,,,,,,,N646UA,,D,"-88.28719,41.96434,5900"
position,UAL229,32.67418,-116.9365,2016-04-14T11:06:23.000-07:00,A,UAL229-1461994227-airline-0297,A,A5D28E,4700,253,266,,,,,,,,,,,,,,N47414,, ,"-116.9365,32.67418,4700"
position,DAL758,33.03016,-117.4774,2016-04-14T11:06:27.000-07:00,A,DAL758-1461994063-airline-0084,A,AB0D76,25900,499,137,,,,,,,,,,,,,,N811DZ,,C,"-117.4774,33.03016,25900"
position,DAL799,37.21472,-76.02889,2016-04-14T11:06:32.000-07:00,Z,DAL799-1461994064-airline-0167,A,,29000,494,23,,,,,,,,,,2016-04-14T11:43:09.000-07:00,,,,,, ,"-76.02889,37.21472,29000"
position,VRD927,36.89758,-121.9383,2016-04-14T11:06:26.000-07:00,A,VRD927-1461994251-airline-0017,A,A83988,13000,355,348,,,,,,,,,,,,,,N629VA,7631,D,"-121.9383,36.89758,13000"
position,N990H,41.96642,-87.18654,2016-04-14T11:06:28.000-07:00,A,N990H-1462132753-3-2,A,ADD352,45000,350,262,,,,,,,,,,,,,,N990H,3462, ,"-87.18654,41.96642,45000"
position,EJA354,37.07951,-121.8805,2016-04-14T11:06:29.000-07:00,A,EJA354-1462143331-1-0,A,A3F518,26700,427,127,,,,,,,,,,,,,,N354QS,3273,C,"-121.8805,37.07951,26700"
position,SWA3095,36.78694,-121.39333,2016-04-14T11:06:34.000-07:00,Z,SWA3095-1461994256-airline-0667,A,,35500,479,130,,,,,,,,,,2016-04-14T12:20:32.000-07:00,,,,,,C,"-121.39333,36.78694,35500"
position,SWA1127,36.57222,-121.46472,2016-04-14T11:06:22.000-07:00,Z,SWA1127-1461994255-airline-0341,A,,15800,339,334,,,,,,,,,,2016-04-14T11:20:56.000-07:00,,,,,,D,"-121.46472,36.57222,15800"
position,SKW5439,32.89795,-117.4888,2016-04-14T11:06:33.000-07:00,A,SKW5439-1461994146-airline-0138,A,A0B6EA,11000,315,310,,,,,,,,,,,,,,N145SY,7352,C,"-117.4888,32.89795,11000"
position,UAL633,42.00441,-87.92211,2016-04-14T11:06:35.000-07:00,A,UAL633-1461994235-airline-0070,A,A46CC1,7200,276,319,,,,,,,,,,,,,,N38417,2601,D,"-87.92211,42.00441,7200"
position,UAL896,41.96354,-88.38418,2016-04-14T11:06:35.000-07:00,A,UAL896-1461994239-airline-0020,A,AAC136,6900,185,89,,,,,,,,,,,,,,N792UA,, ,"-88.38418,41.96354,6900"
position,UAL667,41.98695,-87.86437,2016-04-14T11:06:35.000-07:00,A,UAL667-1461994236-airline-0082,A,AA56B8,1700,172,52,,,,,,,,,,,,,,N76519,7273,C,"-87.86437,41.98695,1700"
position,CKK221,36.51167,-121.97861,2016-04-14T11:06:45.000-07:00,Z,CKK221-1462161637-9-1,A,,33000,518,117,,,,,,,,,,2016-04-14T11:46:16.000-07:00,,,,,, ,"-121.97861,36.51167,33000"
position,ASA248,32.85306,-117.2425,2016-04-14T11:06:45.000-07:00,Z,ASA248-1461994002-airline-0060,A,,9600,309,146,,,,,,,,,,2016-04-14T11:11:26.000-07:00,,,,,,D,"-117.2425,32.85306,9600"
position,AMX773,32.36065,-116.8409,2016-04-14T11:06:37.000-07:00,A,AMX773-1461993999-airline-0128,A,A688FA,12200,311,120,,,,,,,,,,,,,,N520AM,1444,C,"-116.8409,32.36065,12200"
position,UAL908,41.96447,-88.26825,2016-04-14T11:06:38.000-07:00,A,UAL908-1461994239-airline-0130,A,A87D48,5600,179,89,,,,,,,,,,,,,,N646UA,6053,D,"-88.26825,41.96447,5600"
position,AAL156,32.72278,-116.73806,2016-04-14T11:06:45.000-07:00,Z,AAL156-1461993948-airline-0001,A,,17800,402,32,,,,,,,,,,2016-04-14T14:18:44.000-07:00,,,,,,C,"-116.73806,32.72278,17800"
position,VRD953,36.67754,-121.843,2016-04-14T11:06:37.000-07:00,A,VRD953-1461994251-airline-0444,A,A6A882,17900,357,328,,,,,,,,,,,,,,N528VA,,D,"-121.843,36.67754,17900"
position,N95LL,36.35697,-121.8013,2016-04-14T11:06:39.000-07:00,A,N95LL-1462204778-1-0,A,AD3353,20300,334,145,,,,,,,,,,,,,,N95LL,3660,C,"-121.8013,36.35697,20300"
position,DAL2449,41.64444,-87.68083,2016-04-14T11:06:38.000-07:00,Z,DAL2449-1461994054-airline-0262,A,,3000,225,300,,,,,,,,,,2016-04-14T11:12:00.000-07:00,,,,,, ,"-87.68083,41.64444,3000"
position,DPJ112,42.12139,-88.2425,2016-04-14T11:06:51.000-07:00,Z,DPJ112-1462140023-5-1,A,,4300,273,141,,,,,,,,,,2016-04-14T11:16:44.000-07:00,,,,,,D,"-88.2425,42.12139,4300"
position,AAL335,41.96583,-88.07083,2016-04-14T11:06:38.000-07:00,Z,AAL335-1461993950-airline-0112,A,,2700,179,89,,,,,,,,,,2016-04-14T11:07:33.000-07:00,,,,,,D,"-88.07083,41.96583,2700"
position,UAL1640,41.64757,-87.85417,2016-04-14T11:06:41.000-07:00,A,UAL1640-1461994226-airline-0316,A,A0817C,39000,517,80,,,,,,,,,,,,,,N13110,2056, ,"-87.85417,41.64757,39000"
position,ROU1763,36.68889,-76.31333,2016-04-14T11:06:44.000-07:00,Z,ROU1763-1461993970-airline-0151,A,,38900,492,24,,,,,,,,,,2016-04-14T12:25:13.000-07:00,,,,,,D,"-76.31333,36.68889,38900"
position,CKK221,36.542,-122.0378,2016-04-14T11:06:43.000-07:00,A,CKK221-1462161637-9-1,A,7805DD,33000,514,117,,,,,,,,,,,,,,B2077,, ,"-122.0378,36.54174,33000"
position,UAL271,36.94389,-76.54306,2016-04-14T11:06:44.000-07:00,Z,UAL271-1461994227-airline-0288,A,,38000,407,207,,,,,,,,,,2016-04-14T13:13:11.000-07:00,,,,,, ,"-76.54306,36.94389,38000"
position,DAL2805,36.625,-76.54444,2016-04-14T11:06:44.000-07:00,Z,DAL2805-1461994055-airline-0250,A,,36000,428,200,,,,,,,,,,2016-04-14T12:58:15.000-07:00,,,,,,C,"-76.54444,36.625,36000"
position,UAL485,41.98333,-87.8,2016-04-14T11:06:39.000-07:00,Z,UAL485-1461994231-airline-0158,A,,3700,203,90,,,,,,,,,,2016-04-14T12:31:25.000-07:00,,,,,,C,"-87.8,41.98333,3700"
position,SKW5361,37.06667,-121.98333,2016-04-14T11:06:55.000-07:00,Z,SKW5361-1461994235-airline-0271,A,,10300,339,345,,,,,,,,,,2016-04-14T11:17:19.000-07:00,,,,,,D,"-121.98333,37.06667,10300"
position,SKW5018,36.51667,-121.65,2016-04-14T11:06:43.000-07:00,Z,SKW5018-1461994233-airline-0431,A,,3400,185,288,,,,,,,,,,2016-04-14T11:14:56.000-07:00,,,,,,D,"-121.65,36.51667,3400"
position,AAL1098,36.94922,-76.11883,2016-04-14T11:06:46.000-07:00,A,AAL1098-1461993948-airline-0316,A,ACD964,30400,477,25,,,,,,,,,,,,,,N927NN,,D,"-76.11883,36.94922,30400"
position,N85JE,41.54649,-88.14993,2016-04-14T11:06:47.000-07:00,A,N85JE-1462136372-36-1,A,ABA5CC,45000,381,270,,,,,,,,,,,,,,N85JE,6264, ,"-88.14993,41.54649,45000"
position,SWA3885,41.78597,-87.75242,2016-04-14T11:07:01.000-07:00,P,SWA3885-1461994257-airline-0663,A,,,,45,,,,,,,,,,,,,,,,,"-87.75242,41.78597"
position,N866AW,32.55369,-116.70102,2016-04-14T11:07:01.000-07:00,P,N866AW-1462202088-3-0,A,,,,98,,,,,,,,,,,,,,,,,"-116.70102,32.55369"
position,VOI433,32.54106,-116.97016,2016-04-14T11:07:01.000-07:00,P,VOI433-1462028700-schedule-0000,A,,,,255,,,,,,,,,,,,,,,,,"-116.97016,32.54106"
position,FFT105,37.13951,-75.75325,2016-04-14T11:06:48.000-07:00,A,FFT105-1461994084-airline-0117,A,A1A523,27000,400,13,,,,,,,,,,,,,,N205FR,4017,D,"-75.75325,37.13951,27000"
position,UAL229,32.68048,-116.9736,2016-04-14T11:06:48.000-07:00,A,UAL229-1461994227-airline-0297,A,A5D28E,4000,256,287,,,,,,,,,,,,,,N47414,,D,"-116.9736,32.68048,4000"
position,SKW5809,36.50957,-121.7104,2016-04-14T11:06:47.000-07:00,A,SKW5809-1461994235-airline-0391,A,A0B333,23600,384,328,,,,,,,,,,,,,,N144SY,7720,D,"-121.7104,36.50957,23600"
position,SWA2078,42.05067,-87.26965,2016-04-14T11:06:48.000-07:00,A,SWA2078-1461994256-airline-0484,A,AA7DF3,21200,399,355,,,,,,,,,,,,,,N7750A,6217,D,"-87.26965,42.05067,21200"
position,SWA451,41.92111,-88.04556,2016-04-14T11:07:03.000-07:00,Z,SWA451-1461994257-airline-0095,A,,37000,509,86,,,,,,,,,,2016-04-14T11:51:09.000-07:00,,,,,, ,"-88.04556,41.92111,37000"
position,SKW5168,42.09722,-87.83889,2016-04-14T11:07:03.000-07:00,Z,SKW5168-1461994233-airline-0312,A,,6600,251,356,,,,,,,,,,2016-04-14T12:04:26.000-07:00,,,,,,C,"-87.83889,42.09722,6600"
position,SWA1501,41.66056,-87.1,2016-04-14T11:07:03.000-07:00,Z,SWA1501-1461994255-airline-0810,A,,33000,534,79,,,,,,,,,,2016-04-14T11:36:42.000-07:00,,,,,,D,"-87.09694,41.66056,33000"
position,SKW4550,41.83389,-87.08556,2016-04-14T11:07:03.000-07:00,Z,SKW4550-1461994058-airline-0212,A,,32000,392,326,,,,,,,,,,2016-04-14T12:06:43.000-07:00,,,,,, ,"-87.08556,41.83389,32000"
